final_rank,content_id,client_id,final_refresh_score,best_model_name,best_model_probability,baseline_refresh_score,confidence,suggested_action,final_reason_codes,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,content_age_days,days_since_last_update,word_count,trend_direction,competition_level,content_type,main_intent,age_tier,freshness_tier,word_count_tier,impression_tier,position_tier
88,content_7f2e4d6bf2a8,client_3fdba35f04,77.770464469507,random_forest,0.8182840749759938,0.645372676755102,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,2732,3,17,26.6,0.11,174,104,1334.0,down,LOW,keyword article,commercial,91-180,91-180,1000-2000,moderate,page_3_5
89,content_60b286f9ce37,client_3fdba35f04,77.7407710523816,random_forest,0.7858250771476206,0.7151297079931974,high,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,2521,3,40,5.0,0.12,333,104,1318.0,down,LOW,keyword article,informational,181-365,91-180,1000-2000,moderate,page_1
90,content_9cddb79b32a7,client_3fdba35f04,77.73506399198574,random_forest,0.8241964839054886,0.63139695,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,2235,2,8,24.8,0.09,124,104,1586.0,down,MEDIUM,keyword article,transactional,91-180,91-180,1000-2000,moderate,page_3_5
91,content_a0404909ecca,client_3fdba35f04,77.72620643379857,random_forest,0.8381900590930279,0.6006498597732426,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1115,0,19,14.1,0.0,131,104,1640.0,down,MEDIUM,keyword article,transactional,91-180,91-180,1000-2000,moderate,striking
92,content_e1039a455c32,client_7f2253d7e2,77.70548040785421,random_forest,0.8215575101770513,0.6362231403639456,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,24758,37,28,19.6,0.15,141,20,4266.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
93,content_65bf969d1247,client_3fdba35f04,77.69442128979205,random_forest,0.835054520820012,0.6064888532111679,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1092,1,13,12.0,0.09,139,104,1361.0,down,HIGH,keyword article,informational,91-180,91-180,1000-2000,moderate,striking
94,content_1e72ec381b2c,client_7f2253d7e2,77.69397217888007,random_forest,0.848167572226298,0.577920705047619,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,14622,42,47,27.6,0.29,141,20,4229.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
95,content_bfaaf0a4bbd3,client_7f2253d7e2,77.69176857245003,random_forest,0.8251476043988827,0.6279790275272109,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,15213,52,57,18.0,0.34,141,20,3619.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
96,content_c2ac8518bb1f,client_7f2253d7e2,77.68619271787509,random_forest,0.8147038472805123,0.6505472611904762,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,35150,84,74,18.5,0.24,141,20,4597.0,down,LOW,keyword article,informational,91-180,0-30,3500+,excellent,striking
97,content_4bb993e9270e,client_6208ef0f77,77.66960801974257,random_forest,0.7997768748590637,0.6825354100680272,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1986,0,2,1.3,0.0,151,104,5325.0,down,LOW,keyword article,informational,91-180,91-180,3500+,moderate,top_3
98,content_3db36d3c70db,client_7f2253d7e2,77.65523261695945,random_forest,0.8408700415077212,0.5926062623265307,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,26326,39,48,29.4,0.15,141,20,3735.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
99,content_87f1ffe0bedb,client_19581e27de,77.65038101694532,random_forest,0.7349822017455351,0.8230302127658731,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,8225,19,13,1.7,0.23,126,104,2953.0,down,LOW,keyword article,commercial,91-180,91-180,2000-3500,good,top_3
100,content_cddd5aa6c5be,client_7f2253d7e2,77.6403841991178,random_forest,0.8202252638961269,0.6370991651587301,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,12732,120,111,13.6,0.94,147,20,3991.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
