final_rank,content_id,client_id,final_refresh_score,best_model_name,best_model_probability,baseline_refresh_score,confidence,suggested_action,final_reason_codes,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,content_age_days,days_since_last_update,word_count,trend_direction,competition_level,content_type,main_intent,age_tier,freshness_tier,word_count_tier,impression_tier,position_tier
33,content_e88c269d36d5,client_3fdba35f04,78.9083203690196,random_forest,0.8237473095266055,0.6688723475493197,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,2099,1,120,12.4,0.05,144,104,1486.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,striking
34,content_184165640010,client_3fdba35f04,78.79176623592556,random_forest,0.8261232999097393,0.6600728058954082,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,3967,3,24,29.9,0.08,165,104,1551.0,down,HIGH,keyword article,informational,91-180,91-180,1000-2000,good,page_3_5
35,content_5195668f06db,client_19581e27de,78.76382385210843,random_forest,0.7554847538900563,0.8130217527777778,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,6635,0,10,5.2,0.0,144,104,0.0,down,LOW,keyword article,informational,91-180,91-180,unknown,good,page_1
36,content_bd6fe8d9dc9f,client_3fdba35f04,78.76149935758525,random_forest,0.7912367819923809,0.7350980170975057,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3263,8,26,6.4,0.25,139,104,1421.0,down,MEDIUM,keyword article,transactional,91-180,91-180,1000-2000,good,page_1
37,content_fb372b1383b1,client_3fdba35f04,78.75489382255999,random_forest,0.7942508788012616,0.7283292215714284,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,3600,5,40,10.1,0.14,124,104,1580.0,down,LOW,keyword article,commercial,91-180,91-180,1000-2000,good,striking
38,content_69cfaabeda16,client_7f2253d7e2,78.74995404326063,random_forest,0.8413166029927136,0.6256881189484127,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,17695,64,103,19.2,0.36,225,20,4175.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,striking
39,content_e4a481bafa74,client_19581e27de,78.6944973180092,random_forest,0.8166878137270299,0.6775931305839002,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1547,0,4,2.2,0.0,144,104,0.0,down,LOW,keyword article,informational,91-180,91-180,unknown,moderate,top_3
40,content_c65ee459f729,client_f369cb89fc,78.68875747467186,random_forest,0.7682242199725002,0.7829459298690477,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,6526,0,16,17.4,0.0,106,106,2898.0,down,LOW,keyword article,informational,91-180,91-180,2000-3500,good,striking
41,content_5c44b0fda035,client_7f2253d7e2,78.68771919334247,random_forest,0.8469964882368992,0.6113839660204081,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,21928,37,39,24.4,0.17,141,20,3740.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
42,content_2d6bc8e57b4c,client_3fdba35f04,78.68752301852267,random_forest,0.8084661215817869,0.6952792292993196,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3016,4,23,15.4,0.13,155,104,1349.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,striking
